[2017-11-23 07:38] !FLY            performed by '[TZ] FFG' on '[TZ] FFG': 10
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': On next death
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': On next death
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 07:52] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 07:53] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 07:53] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 07:54] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 07:57] !INIT           performed by '[TZ] FFG': 
[2017-11-23 07:59] !INIT           performed by '[TZ] FFG': 
[2017-11-23 07:59] !SETNEXT        performed by '[TZ] FFG': Dovre (AAS, Inf)
[2017-11-23 07:59] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-23 08:03] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 08:03] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 08:05] !SWITCH         performed by '[TZ] FFG' on '[TZ] FFG': On next death
[2017-11-23 08:05] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 08:05] !SWITCH         performed by '|69th| chrisweb89' on '[bD] Cripple': Instantly
[2017-11-23 08:05] !SWITCH         performed by '[TZ] FFG' on '[bD] Cripple': Instantly
[2017-11-23 08:06] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb89': Instantly
[2017-11-23 08:06] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb.89': On next death
[2017-11-23 08:06] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb.89': Instantly
[2017-11-23 08:07] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 08:07] !KILL           performed by '[TZ] FFG' on '[TZ] FFG': now
[2017-11-23 08:07] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 08:08] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 08:08] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb89': Instantly
[2017-11-23 08:09] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb89': Instantly
[2017-11-23 08:09] !INIT           performed by '|69th| chrisweb89': 
[2017-11-23 08:09] !INIT           performed by '[TZ] FFG': 
[2017-11-23 08:10] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb89': Instantly
[2017-11-23 08:39] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb89': Instantly
[2017-11-23 08:39] !SWITCH         performed by '[TZ] FFG' on '|69th| chrisweb89': Instantly
[2017-11-23 08:52] !SWITCH         performed by '[TZ] FFG' on '[DF?] Nightfall': On next death
[2017-11-23 09:06] !SAY            performed by '[bD] Cripple': No tking its bad - [bD] Cripple
[2017-11-23 09:06] !SAY            performed by '[bD] Cripple': STAAAAAAHp - [bD] Cripple
[2017-11-23 09:14] !SETNEXT        performed by '[bD] Cripple': Kashan Desert (AAS, Std)
[2017-11-23 09:14] !RUNNEXT        performed by '[bD] Cripple': 
[2017-11-24 00:00] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 00:05] !SETNEXT        performed by '[TZ] FFG': Battle of Ia Drang (AAS, Std)
[2017-11-24 00:05] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 00:10] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 00:16] !INIT           performed by '[TZ] FFG': 
[2017-11-24 00:16] !INIT           performed by '[TZ] FFG': 
[2017-11-24 00:18] !INIT           performed by '[TZ] FFG': 
[2017-11-24 00:18] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 00:21] !SETNEXT        performed by '[TZ] FFG': Dovre (AAS, Std)
[2017-11-24 00:22] !WARN           performed by '|69th| imchicken1' on '[TZ] FFG': fag
[2017-11-24 00:23] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 00:34] !INIT           performed by '[TZ] FFG': 
[2017-11-24 01:00] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 01:04] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-24 02:17] !SETNEXT        performed by '[TZ] FFG': Dovre (AAS, Std)
[2017-11-24 02:18] !FLY            performed by '|69th| chrisweb89' on '|69th| chrisweb89': 10
[2017-11-24 02:41] !SETNEXT        performed by '[TZ] FFG': Dovre (AAS, Std)
[2017-11-24 03:39] !STOPSERVER     performed by ' [R-DEV]Max_Windowed': asd
[2017-11-23 22:02] !SETNEXT        performed by '|69th| chrisweb89': Sahel - BETA (Insurgency, Std)
[2017-11-23 22:02] !RUNNEXT        performed by '|69th| chrisweb89': 
[2017-11-23 22:05] !KICK           performed by 'SERVER' on ' [R-DEV]Max_Windowed': Creating too many early squads!
[2017-11-23 22:10] !SETNEXT        performed by ' [R-DEV]Max_Windowed': Kozelsk (AAS, Std)
[2017-11-23 22:11] !RUNNEXT        performed by ' [R-DEV]Max_Windowed': 
[2017-11-23 22:27] !SETNEXT        performed by ' [R-DEV]Max_Windowed': Assault on Grozny (AAS, Std)
[2017-11-23 22:33] !RUNNEXT        performed by ' [R-DEV]Max_Windowed': 
[2017-11-23 22:49] !SETNEXT        performed by ' [R-DEV]Max_Windowed': Muttrah City (AAS, Std)
[2017-11-23 22:49] !RUNNEXT        performed by ' [R-DEV]Max_Windowed': 
[2017-11-23 23:00] !RUNNEXT        performed by ' [R-DEV]Max_Windowed': 
[2017-11-25 13:59] !TEMPBAN        performed by '|69th| chrisweb89' on 'MONGOL jybbe': bye
[2017-11-25 14:11] !REPORT         performed by '|69th| Zissou': myself
[2017-11-25 14:11] !REPORT         performed by 'MONGOL jybbe': hello :---D
[2017-11-25 14:11] !SAY            performed by '[TZ] FFG': hi - [TZ] FFG
[2017-11-25 14:26] !SAY            performed by '[TZ] Cleavetester': stop throwing smoke - [TZ] Cleavetester
[2017-11-25 14:26] !SAY            performed by '[TZ] Cleavetester': cant snipe - [TZ] Cleavetester
[2017-11-25 14:38] !SETNEXT        performed by '[TZ] FFG': Fallujah West (Insurgency, Alt)
[2017-11-25 14:50] !MESSAGE        performed by ' [PR]RPX|Bullseye2550' on '[TZ] FFG': play a standard map, not skirmish -  [PR]RPX|Bullseye2550
[2017-11-25 14:54] !KICK           performed by 'SERVER' on ' Rigbey': Creating too many early squads!
[2017-11-25 14:54] !KICK           performed by 'SERVER' on '|69th| imchicken1': Creating too many early squads!
[2017-11-25 14:54] !RESIGNALL      performed by '[TZ] FFG': us 
[2017-11-25 14:54] !KICK           performed by 'SERVER' on '[TZ] Cleavetester': Creating too many early squads!
[2017-11-25 14:54] !KICK           performed by 'SERVER' on '[TZ] FFG': Creating too many early squads!
[2017-11-25 14:56] !SWITCH         performed by '[TZ] FFG' on '[TZ] FFG': Instantly
[2017-11-25 14:56] !INIT           performed by '[TZ] FFG': 
[2017-11-25 15:00] !INIT           performed by '[TZ] FFG': 
[2017-11-25 15:03] !HASH           performed by '[TZ] FFG' on 'CATCH Hacker_Catcher': 
[2017-11-25 15:03] !REPORT         performed by 'MONGOL jybbe': rum or not?
[2017-11-25 15:04] !HASH           performed by '[TZ] FFG' on 'CATCH Hacker_Catcher': 
[2017-11-25 15:05] !INIT           performed by '[TZ] FFG': 
[2017-11-25 15:06] !INIT           performed by '[TZ] FFG': 
[2017-11-25 15:19] !KILL           performed by '[TZ] FFG' on ' krautrock': now
[2017-11-25 15:19] !KICK           performed by '[TZ] FFG' on ' krautrock': now
[2017-11-25 15:40] !SAY            performed by '[TZ] FFG': do !br - [TZ] FFG
[2017-11-25 15:41] !REPORT         performed by ' _mikefisher_': omarito int teamkill
[2017-11-25 15:58] !SAY            performed by '[GOY] KUS-MIFLEZET': test - [GOY] KUS-MIFLEZET
[2017-11-25 16:15] !SAY            performed by '|69th| chrisweb89': thanks for helping to seed everyone, come join the community and give your feedback @discord.me/NWG or newworldgaming.xyz - |69th| chrisweb89
[2017-11-25 16:23] !SAY            performed by '|69th| chrisweb89': talk to your friends and get them to join so we can turn the seeding into full proper games - |69th| chrisweb89
[2017-11-25 16:47] !SETNEXT        performed by '[TZ] FFG': Muttrah City (AAS, Alt)
[2017-11-25 16:49] !SAY            performed by '[GOY] KUS-MIFLEZET': who the hell is camping main - [GOY] KUS-MIFLEZET
[2017-11-25 16:50] !WARN           performed by '[TZ] FFG' on ' dainrain': You are too close to their main base! Back off now!
[2017-11-25 16:50] !SAY            performed by '|69th| chrisweb89': keep the fight away from mainbases, and do not camp/attack them - |69th| chrisweb89
[2017-11-25 16:50] !WARN           performed by '[TZ] FFG' on ' GTX980': You are too close to their main base! Back off now!
[2017-11-25 16:50] !SAY            performed by '[TZ] FFG': You are too close to their main base! Back off now! - [TZ] FFG
